keys;en;fr
TR_MAN_CAT_BATTLE;Battle;Combat
TR_MAN_PAGE_ACTEXT;Selecting an action (2);Sélectionner une action (2)
TR_MAN_PAGE_ACTASEL;Selecting an action;Sélectionner une action
TR_MAN_PAGE_PRIORITY;Priority;Priorité
TR_MAN_PAGE_ROTATE;Rotating;Rotation
TR_MAN_CAT_AGEN;General;Général
TR_MAN_PAGE_SWITCH;Switching;Échanger
TR_MAN_PAGE_TYPECHART;Type chart;Tableau des types
TR_MAN_PAGE_STATS;Spirit Stats;Statistiques d’un esprit
TR_MAN_PAGE_DAMAGE;Taking damage;Subir des dégâts
TR_MAN_CAT_ATEAM;Teambuilding;Construction d'équipe
TR_MAN_PAGE_DUALTYPE;Equipping a spirit;Équiper un esprit
TR_MAN_PAGE_AATEAMBASIC;Building a team;Construire une équipe
TR_MAN_PAGE_STAMINA;Stamina;Énergie
TR_MAN_PAGE_DAMAGECALC;Damage formula;Formule de dégâts
TR_MAN_PAGE_DEFENDING;Defending;Se défendre
TR_MAN_PAGE_STATCHANGE;Stat change;Changement de statistique
TR_MAN_PAGE_INDICATORS;Spirit indicators;Indicateurs lumineux d’esprit
