keys;en;fr
TR_SPIRIT_PLACEHOLDER;Placeholder;Espace réservé
TR_SPIRIT_GODOT;Game Engine;Moteur de Jeu
TR_SPIRIT_FLAG;Flag;Drapeau
TR_SPIRIT_FISH;Fish;Poisson
TR_SPIRIT_DOG;Dog;Chien
TR_SPIRIT_BLOCK;Block;Bloc
TR_SPIRIT_PLAYER;Player;Joueur
TR_SPIRIT_STAR;Star;Étoile
TR_SPIRIT_WALL;Wall;Mur
TR_SPIRIT_TARGET;Target;Cible
TR_SPIRIT_SPIRIT;Spirit;Esprit
TR_SPIRIT_VS_FLIGHT;Consistency;Consistance
TR_SPIRIT_VS_FIGHT;Constancy;Constance
TR_SPIRIT_EYE;Eye;Œil
TR_SPIRIT_HOLE;Hole;Trou
TR_SPIRIT_PLANET;Planet;Planète
TR_SPIRIT_SWORD;Sword;Épée
TR_SPIRIT_TREE;Tree;Arbre
TR_SPIRIT_HUMAN;Human;Humain
TR_SPIRIT_VOID;Void portal;Portail nul
TR_SPIRIT_BED;Bed;Lit
